,full_name,id,url,stars
207,gregberge/svgr,102155012,https://api.github.com/repos/gregberge/svgr,8783
208,maxogden/concat-stream,5280109,https://api.github.com/repos/maxogden/concat-stream,561
209,cheeriojs/cheerio,2541284,https://api.github.com/repos/cheeriojs/cheerio,25158
210,browserslist/browserslist,27971466,https://api.github.com/repos/browserslist/browserslist,10754
211,open-cli-tools/concurrently,30381877,https://api.github.com/repos/open-cli-tools/concurrently,5361
212,graphql/graphql-js,38307428,https://api.github.com/repos/graphql/graphql-js,18850
213,parcel-bundler/parcel,99598595,https://api.github.com/repos/parcel-bundler/parcel,40880
214,http-party/http-server,1908577,https://api.github.com/repos/http-party/http-server,11859
215,json5/json5,4463453,https://api.github.com/repos/json5/json5,5148
216,aws/aws-sdk-js,5694513,https://api.github.com/repos/aws/aws-sdk-js,7060
217,beautify-web/js-beautify,84822,https://api.github.com/repos/beautify-web/js-beautify,7745
218,browserify/browserify,931039,https://api.github.com/repos/browserify/browserify,14102
219,jest-community/jest-watch-typeahead,126561568,https://api.github.com/repos/jest-community/jest-watch-typeahead,369
220,sindresorhus/np,40806530,https://api.github.com/repos/sindresorhus/np,6625
221,plurals/pluralize,9152708,https://api.github.com/repos/plurals/pluralize,1888
222,release-it/release-it,15921313,https://api.github.com/repos/release-it/release-it,5300
223,mdevils/html-entities,8219372,https://api.github.com/repos/mdevils/html-entities,465
224,raszi/node-tmp,2313213,https://api.github.com/repos/raszi/node-tmp,677
225,webpack-contrib/stylus-loader,14120839,https://api.github.com/repos/webpack-contrib/stylus-loader,494
226,sass/dart-sass,72474275,https://api.github.com/repos/sass/dart-sass,3115
227,esamattis/underscore.string,800115,https://api.github.com/repos/esamattis/underscore.string,3362
228,unifiedjs/unified,39996248,https://api.github.com/repos/unifiedjs/unified,3369
229,yargs/yargs-parser,50258379,https://api.github.com/repos/yargs/yargs-parser,410
230,floating-ui/floating-ui,54994103,https://api.github.com/repos/floating-ui/floating-ui,21745
231,npm/node-tar,1534331,https://api.github.com/repos/npm/node-tar,678
232,conventional-changelog/conventional-changelog,15639771,https://api.github.com/repos/conventional-changelog/conventional-changelog,6395
233,pugjs/pug,734934,https://api.github.com/repos/pugjs/pug,20788
234,sindresorhus/type-fest,175398594,https://api.github.com/repos/sindresorhus/type-fest,7899
235,vuejs/router,169618186,https://api.github.com/repos/vuejs/router,2157
236,vuetifyjs/vuetify,67962648,https://api.github.com/repos/vuetifyjs/vuetify,34524
237,sindresorhus/figures,21672939,https://api.github.com/repos/sindresorhus/figures,509
238,sindresorhus/find-up,41723004,https://api.github.com/repos/sindresorhus/find-up,453
239,nock/nock,2436267,https://api.github.com/repos/nock/nock,11551
240,tschaub/gh-pages,17884290,https://api.github.com/repos/tschaub/gh-pages,2825
241,isaacs/node-graceful-fs,2077020,https://api.github.com/repos/isaacs/node-graceful-fs,1164
242,gulp-sourcemaps/gulp-sourcemaps,17343493,https://api.github.com/repos/gulp-sourcemaps/gulp-sourcemaps,1091
243,expressjs/compression,15571957,https://api.github.com/repos/expressjs/compression,2551
